TOWNCODE,ZIPCODE,COUNTYNAME,TOWNNAME
6300500,100,臺北市,中正區
6300600,103,臺北市,大同區
6300400,104,臺北市,中山區
6300100,105,臺北市,松山區
6300300,106,臺北市,大安區
6300700,108,臺北市,萬華區
6300200,110,臺北市,信義區
6301100,111,臺北市,士林區
6301200,112,臺北市,北投區
6301000,114,臺北市,內湖區
6300900,115,臺北市,南港區
6300800,116,臺北市,文山區
1001704,200,基隆市,仁愛區
1001707,201,基隆市,信義區
1001701,202,基隆市,中正區
1001705,203,基隆市,中山區
1001706,204,基隆市,安樂區
1001703,205,基隆市,暖暖區
1001702,206,基隆市,七堵區
6502800,207,新北市,萬里區
6502700,208,新北市,金山區
0900701,209,連江縣,南竿鄉
0900702,210,連江縣,北竿鄉
0900703,211,連江縣,莒光鄉
0900704,212,連江縣,東引鄉
6500100,220,新北市,板橋區
6501100,221,新北市,汐止區
6501800,222,新北市,深坑區
6501900,223,新北市,石碇區
6501200,224,新北市,瑞芳區
6502400,226,新北市,平溪區
6502500,227,新北市,雙溪區
6502600,228,新北市,貢寮區
6500600,231,新北市,新店區
6502000,232,新北市,坪林區
6502900,233,新北市,烏來區
6500400,234,新北市,永和區
6500300,235,新北市,中和區
6501300,236,新北市,土城區
6500900,237,新北市,三峽區
6500700,238,新北市,樹林區
6500800,239,新北市,鶯歌區
6500200,241,新北市,三重區
6500500,242,新北市,新莊區
6501600,243,新北市,泰山區
6501700,244,新北市,林口區
6501400,247,新北市,蘆洲區
6501500,248,新北市,五股區
6502300,249,新北市,八里區
6501000,251,新北市,淡水區
6502100,252,新北市,三芝區
6502200,253,新北市,石門區
1000201,260,宜蘭縣,宜蘭市
1000204,261,宜蘭縣,頭城鎮
1000205,262,宜蘭縣,礁溪鄉
1000206,263,宜蘭縣,壯圍鄉
1000207,264,宜蘭縣,員山鄉
1000202,265,宜蘭縣,羅東鎮
1000210,266,宜蘭縣,三星鄉
1000211,267,宜蘭縣,大同鄉
1000209,268,宜蘭縣,五結鄉
1000208,269,宜蘭縣,冬山鄉
1000203,270,宜蘭縣,蘇澳鎮
1000212,272,宜蘭縣,南澳鄉
1001801,300,新竹市,東區
1001802,300,新竹市,北區
1001803,300,新竹市,香山區
1000401,302,新竹縣,竹北市
1000405,303,新竹縣,湖口鄉
1000406,304,新竹縣,新豐鄉
1000403,305,新竹縣,新埔鎮
1000404,306,新竹縣,關西鎮
1000407,307,新竹縣,芎林鄉
1000410,308,新竹縣,寶山鄉
1000402,310,新竹縣,竹東鎮
1000413,311,新竹縣,五峰鄉
1000408,312,新竹縣,橫山鄉
1000412,313,新竹縣,尖石鄉
1000409,314,新竹縣,北埔鄉
1000411,315,新竹縣,峨眉鄉
6800200,320,桃園市,中壢區
6801000,324,桃園市,平鎮區
6800900,325,桃園市,龍潭區
6800400,326,桃園市,楊梅區
6801100,327,桃園市,新屋區
6801200,328,桃園市,觀音區
6800100,330,桃園市,桃園區
6800700,333,桃園市,龜山區
6800800,334,桃園市,八德區
6800300,335,桃園市,大溪區
6801300,336,桃園市,復興區
6800600,337,桃園市,大園區
6800500,338,桃園市,蘆竹區
1000504,350,苗栗縣,竹南鎮
1000505,351,苗栗縣,頭份市
1000516,352,苗栗縣,三灣鄉
1000511,353,苗栗縣,南庄鄉
1000517,354,苗栗縣,獅潭鄉
1000506,356,苗栗縣,後龍鎮
1000503,357,苗栗縣,通霄鎮
1000502,358,苗栗縣,苑裡鎮
1000501,360,苗栗縣,苗栗市
1000515,361,苗栗縣,造橋鄉
1000512,362,苗栗縣,頭屋鄉
1000509,363,苗栗縣,公館鄉
1000508,364,苗栗縣,大湖鄉
1000518,365,苗栗縣,泰安鄉
1000510,366,苗栗縣,銅鑼鄉
1000513,367,苗栗縣,三義鄉
1000514,368,苗栗縣,西湖鄉
1000507,369,苗栗縣,卓蘭鎮
6600100,400,臺中市,中區
6600200,401,臺中市,東區
6600300,402,臺中市,南區
6600400,403,臺中市,西區
6600500,404,臺中市,北區
6600800,406,臺中市,北屯區
6600600,407,臺中市,西屯區
6600700,408,臺中市,南屯區
6602700,411,臺中市,太平區
6602800,412,臺中市,大里區
6602600,413,臺中市,霧峰區
6602300,414,臺中市,烏日區
6600900,420,臺中市,豐原區
6601500,421,臺中市,后里區
6602000,422,臺中市,石岡區
6601000,423,臺中市,東勢區
6602900,424,臺中市,和平區
6601900,426,臺中市,新社區
6601700,427,臺中市,潭子區
6601800,428,臺中市,大雅區
6601600,429,臺中市,神岡區
6602400,432,臺中市,大肚區
6601300,433,臺中市,沙鹿區
6602500,434,臺中市,龍井區
6601400,435,臺中市,梧棲區
6601200,436,臺中市,清水區
6601100,437,臺中市,大甲區
6602100,438,臺中市,外埔區
6602200,439,臺中市,大安區
1000701,500,彰化縣,彰化市
1000709,502,彰化縣,芬園鄉
1000708,503,彰化縣,花壇鄉
1000707,504,彰化縣,秀水鄉
1000702,505,彰化縣,鹿港鎮
1000706,506,彰化縣,福興鄉
1000704,507,彰化縣,線西鄉
1000703,508,彰化縣,和美鎮
1000705,509,彰化縣,伸港鄉
1000710,510,彰化縣,員林市
1000717,511,彰化縣,社頭鄉
1000716,512,彰化縣,永靖鄉
1000715,513,彰化縣,埔心鄉
1000711,514,彰化縣,溪湖鎮
1000713,515,彰化縣,大村鄉
1000714,516,彰化縣,埔鹽鄉
1000712,520,彰化縣,田中鎮
1000719,521,彰化縣,北斗鎮
1000721,522,彰化縣,田尾鄉
1000722,523,彰化縣,埤頭鄉
1000726,524,彰化縣,溪州鄉
1000725,525,彰化縣,竹塘鄉
1000720,526,彰化縣,二林鎮
1000724,527,彰化縣,大城鄉
1000723,528,彰化縣,芳苑鄉
1000718,530,彰化縣,二水鄉
1000801,540,南投縣,南投市
1000808,541,南投縣,中寮鄉
1000803,542,南投縣,草屯鎮
1000810,544,南投縣,國姓鄉
1000802,545,南投縣,埔里鎮
1000813,546,南投縣,仁愛鄉
1000806,551,南投縣,名間鄉
1000805,552,南投縣,集集鎮
1000811,553,南投縣,水里鄉
1000809,555,南投縣,魚池鄉
1000812,556,南投縣,信義鄉
1000804,557,南投縣,竹山鎮
1000807,558,南投縣,鹿谷鄉
1002002,600,嘉義市,西區
1002001,600,嘉義市,東區
1001016,602,嘉義縣,番路鄉
1001015,603,嘉義縣,梅山鄉
1001014,604,嘉義縣,竹崎鄉
1001018,605,嘉義縣,阿里山鄉
1001013,606,嘉義縣,中埔鄉
1001017,607,嘉義縣,大埔鄉
1001012,608,嘉義縣,水上鄉
1001011,611,嘉義縣,鹿草鄉
1001001,612,嘉義縣,太保市
1001002,613,嘉義縣,朴子市
1001009,614,嘉義縣,東石鄉
1001008,615,嘉義縣,六腳鄉
1001007,616,嘉義縣,新港鄉
1001005,621,嘉義縣,民雄鄉
1001004,622,嘉義縣,大林鎮
1001006,623,嘉義縣,溪口鄉
1001010,624,嘉義縣,義竹鄉
1001003,625,嘉義縣,布袋鎮
1000902,630,雲林縣,斗南鎮
1000908,631,雲林縣,大埤鄉
1000903,632,雲林縣,虎尾鎮
1000905,633,雲林縣,土庫鎮
1000915,634,雲林縣,褒忠鄉
1000914,635,雲林縣,東勢鄉
1000916,636,雲林縣,臺西鄉
1000912,637,雲林縣,崙背鄉
1000913,638,雲林縣,麥寮鄉
1000901,640,雲林縣,斗六市
1000910,643,雲林縣,林內鄉
1000907,646,雲林縣,古坑鄉
1000909,647,雲林縣,莿桐鄉
1000904,648,雲林縣,西螺鎮
1000911,649,雲林縣,二崙鄉
1000906,651,雲林縣,北港鎮
1000920,652,雲林縣,水林鄉
1000919,653,雲林縣,口湖鄉
1000918,654,雲林縣,四湖鄉
1000917,655,雲林縣,元長鄉
6703700,700,臺南市,中西區
6703200,701,臺南市,東區
6703300,702,臺南市,南區
6703400,704,臺南市,北區
6703600,708,臺南市,安平區
6703500,709,臺南市,安南區
6703100,710,臺南市,永康區
6702800,711,臺南市,歸仁區
6701800,712,臺南市,新化區
6702600,713,臺南市,左鎮區
6702300,714,臺南市,玉井區
6702400,715,臺南市,楠西區
6702500,716,臺南市,南化區
6702700,717,臺南市,仁德區
6702900,718,臺南市,關廟區
6703000,719,臺南市,龍崎區
6701000,720,臺南市,官田區
6700700,721,臺南市,麻豆區
6701200,722,臺南市,佳里區
6701400,723,臺南市,西港區
6701500,724,臺南市,七股區
6701600,725,臺南市,將軍區
6701300,726,臺南市,學甲區
6701700,727,臺南市,北門區
6700100,730,臺南市,新營區
6700500,731,臺南市,後壁區
6700300,732,臺南市,白河區
6700600,733,臺南市,東山區
6700900,734,臺南市,六甲區
6700800,735,臺南市,下營區
6700400,736,臺南市,柳營區
6700200,737,臺南市,鹽水區
6701900,741,臺南市,善化區
6701100,742,臺南市,大內區
6702200,743,臺南市,山上區
6702000,744,臺南市,新市區
6702100,745,臺南市,安定區
6400600,800,高雄市,新興區
6400700,801,高雄市,前金區
6400800,802,高雄市,苓雅區
6400100,803,高雄市,鹽埕區
6400200,804,高雄市,鼓山區
6401000,805,高雄市,旗津區
6400900,806,高雄市,前鎮區
6400500,807,高雄市,三民區
6400400,811,高雄市,楠梓區
6401100,812,高雄市,小港區
6400300,813,高雄市,左營區
6401700,814,高雄市,仁武區
6401600,815,高雄市,大社區
6401900,820,高雄市,岡山區
6402400,821,高雄市,路竹區
6402300,822,高雄市,阿蓮區
6402200,823,高雄市,田寮區
6402100,824,高雄市,燕巢區
6402000,825,高雄市,橋頭區
6402900,826,高雄市,梓官區
6402800,827,高雄市,彌陀區
6402700,828,高雄市,永安區
6402500,829,高雄市,湖內區
6401200,830,高雄市,鳳山區
6401400,831,高雄市,大寮區
6401300,832,高雄市,林園區
6401800,833,高雄市,鳥松區
6401500,840,高雄市,大樹區
6403000,842,高雄市,旗山區
6403100,843,高雄市,美濃區
6403200,844,高雄市,六龜區
6403500,845,高雄市,內門區
6403400,846,高雄市,杉林區
6403300,847,高雄市,甲仙區
6403700,848,高雄市,桃源區
6403800,849,高雄市,那瑪夏區
6403600,851,高雄市,茂林區
6402600,852,高雄市,茄萣區
1001601,880,澎湖縣,馬公市
1001604,881,澎湖縣,西嶼鄉
1001605,882,澎湖縣,望安鄉
1001606,883,澎湖縣,七美鄉
1001603,884,澎湖縣,白沙鄉
1001602,885,澎湖縣,湖西鄉
0902002,890,金門縣,金沙鎮
0902003,891,金門縣,金湖鎮
0902004,892,金門縣,金寧鄉
0902001,893,金門縣,金城鎮
0902005,894,金門縣,烈嶼鄉
0902006,896,金門縣,烏坵鄉
1001301,900,屏東縣,屏東市
1001326,901,屏東縣,三地門鄉
1001327,902,屏東縣,霧臺鄉
1001328,903,屏東縣,瑪家鄉
1001308,904,屏東縣,九如鄉
1001309,905,屏東縣,里港鄉
1001311,906,屏東縣,高樹鄉
1001310,907,屏東縣,鹽埔鄉
1001306,908,屏東縣,長治鄉
1001307,909,屏東縣,麟洛鄉
1001314,911,屏東縣,竹田鄉
1001313,912,屏東縣,內埔鄉
1001305,913,屏東縣,萬丹鄉
1001302,920,屏東縣,潮州鎮
1001329,921,屏東縣,泰武鄉
1001330,922,屏東縣,來義鄉
1001312,923,屏東縣,萬巒鄉
1001318,924,屏東縣,崁頂鄉
1001315,925,屏東縣,新埤鄉
1001320,926,屏東縣,南州鄉
1001319,927,屏東縣,林邊鄉
1001303,928,屏東縣,東港鎮
1001322,929,屏東縣,琉球鄉
1001321,931,屏東縣,佳冬鄉
1001317,932,屏東縣,新園鄉
1001316,940,屏東縣,枋寮鄉
1001325,941,屏東縣,枋山鄉
1001331,942,屏東縣,春日鄉
1001332,943,屏東縣,獅子鄉
1001323,944,屏東縣,車城鄉
1001333,945,屏東縣,牡丹鄉
1001304,946,屏東縣,恆春鎮
1001324,947,屏東縣,滿州鄉
1001401,950,臺東縣,臺東市
1001411,951,臺東縣,綠島鄉
1001416,952,臺東縣,蘭嶼鄉
1001413,953,臺東縣,延平鄉
1001404,954,臺東縣,卑南鄉
1001405,955,臺東縣,鹿野鄉
1001403,956,臺東縣,關山鎮
1001412,957,臺東縣,海端鄉
1001406,958,臺東縣,池上鄉
1001407,959,臺東縣,東河鄉
1001402,961,臺東縣,成功鎮
1001408,962,臺東縣,長濱鄉
1001409,963,臺東縣,太麻里鄉
1001414,964,臺東縣,金峰鄉
1001410,965,臺東縣,大武鄉
1001415,966,臺東縣,達仁鄉
1001501,970,花蓮縣,花蓮市
1001504,971,花蓮縣,新城鄉
1001511,972,花蓮縣,秀林鄉
1001505,973,花蓮縣,吉安鄉
1001506,974,花蓮縣,壽豐鄉
1001502,975,花蓮縣,鳳林鎮
1001507,976,花蓮縣,光復鄉
1001508,977,花蓮縣,豐濱鄉
1001509,978,花蓮縣,瑞穗鄉
1001512,979,花蓮縣,萬榮鄉
1001503,981,花蓮縣,玉里鎮
1001513,982,花蓮縣,卓溪鄉
1001510,983,花蓮縣,富里鄉
